AÑO,CÓDIGO_MUNICIPIO,MUNICIPIO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA,Causas
2020,91430,La Victoria,91,Amazonas,3828,Amazonas (ETC),168,14.29,14.29,0.0,15.28,0.0,0.0,15.48,46.67,26.39,0.0,0.0,,,0.0,0.0,0.0,,,100.0,100.0,100.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,Sin acceso a internet
2020,91407,La Pedrera,91,Amazonas,3828,Amazonas (ETC),1186,74.62,74.62,44.12,85.91,36.27,7.65,88.7,102.94,121.03,65.49,42.08,,,0.6,0.95,0.49,0.9,0.0,97.28,99.05,99.51,91.93,91.07,2.11,0.0,0.0,7.17,8.93,7.85,1.9,9.67,7.17,1.79,Sin acceso a internet
2020,91405,La Chorrera,91,Amazonas,3828,Amazonas (ETC),1159,51.6,51.6,35.44,47.36,34.58,9.04,62.64,58.23,62.64,71.58,45.76,,,6.35,0.0,0.0,15.19,11.29,93.5,100.0,100.0,84.81,87.1,0.15,0.0,0.0,0.0,1.61,8.12,10.87,10.24,6.33,1.61,Sin acceso a internet
2020,91263,El Encanto,91,Amazonas,3828,Amazonas (ETC),674,51.48,51.48,44.07,53.05,34.22,14.41,60.53,79.66,67.38,54.67,45.05,,,0.52,0.0,0.0,0.86,2.7,99.48,100.0,100.0,99.14,97.3,0.0,0.0,0.0,0.0,0.0,3.61,0.0,2.13,6.9,5.41,Sin acceso a internet
2020,91001,Leticia,91,Amazonas,3828,Amazonas (ETC),13222,98.64,98.61,59.23,92.92,77.68,44.87,115.44,103.48,118.44,122.71,98.39,,,2.72,8.91,0.8,3.82,2.73,86.89,91.0,93.93,78.89,77.87,10.4,0.09,5.28,17.29,19.4,9.83,0.52,9.49,13.39,7.65,Sin acceso a internet
2020,88564,Providencia,88,Archipiélago de San Andrés. Providencia y Santa Catalina,3827,Archipiélago de San Andrés. Providencia y Santa Catalina (ETC),1199,75.06,75.06,57.73,68.01,74.02,42.64,80.07,74.23,75.86,97.3,57.87,,,0.55,1.39,1.06,0.0,0.0,96.71,98.61,96.02,96.81,97.67,2.74,0.0,2.92,3.19,2.33,7.57,0.0,9.28,7.45,6.98,Sin acceso a internet
2020,88001,San Andrés,88,Archipiélago de San Andrés. Providencia y Santa Catalina,3827,Archipiélago de San Andrés. Providencia y Santa Catalina (ETC),9970,94.9,94.78,79.63,93.39,84.14,51.85,101.44,96.34,106.11,108.78,77.8,,,1.52,1.24,1.33,1.79,1.61,91.17,96.8,92.32,89.24,88.88,7.32,1.95,6.35,8.98,9.52,8.8,2.13,7.24,13.69,4.47,Sin acceso a internet
2020,86885,Villagarzón,86,Putumayo,3826,Putumayo (ETC),5559,105.95,105.92,67.46,102.39,91.57,42.24,117.75,104.53,122.98,132.32,83.1,,,7.92,4.36,5.29,11.12,10.98,89.06,95.64,92.92,83.56,86.49,3.02,0.0,1.79,5.33,2.53,7.14,0.22,5.92,11.11,3.55,Sin acceso a internet
2020,86865,Valle del Guamuez,86,Putumayo,3826,Putumayo (ETC),7702,87.25,87.22,59.86,81.93,78.69,46.88,97.31,94.19,97.7,106.04,81.13,,,8.16,4.37,6.25,10.65,9.27,86.46,95.63,89.75,81.75,84.3,5.37,0.0,3.99,7.6,6.43,6.09,0.2,5.83,8.46,3.68,Sin acceso a internet
2020,86760,Santiago,86,Putumayo,3826,Putumayo (ETC),1535,79.8,79.8,58.7,75.73,71.66,39.52,86.64,71.01,89.92,92.51,75.0,,,4.96,6.12,3.57,6.56,4.84,94.89,93.88,96.1,93.44,95.16,0.15,0.0,0.34,0.0,0.0,5.34,0.0,5.43,7.88,1.61,Sin acceso a internet
2020,86757,San Miguel,86,Putumayo,3826,Putumayo (ETC),4575,85.14,85.14,48.95,76.37,79.69,44.5,94.58,87.63,93.99,104.85,79.17,,,7.93,4.27,5.91,9.99,11.22,86.4,95.73,91.62,81.15,77.76,5.67,0.0,2.47,8.86,11.02,5.55,0.0,5.46,7.28,4.33,Sin acceso a internet
2020,86755,San Francisco,86,Putumayo,3826,Putumayo (ETC),1099,80.25,80.25,50.59,78.97,68.62,54.97,94.72,72.94,85.91,107.18,100.52,,,5.98,1.61,2.6,11.29,5.07,90.81,98.39,94.79,84.33,91.3,3.21,0.0,2.6,4.39,3.62,5.54,1.61,5.21,7.84,2.9,Sin acceso a internet
2020,86749,Sibundoy,86,Putumayo,3826,Putumayo (ETC),2922,105.51,105.51,64.02,89.22,110.21,80.08,117.18,92.89,98.65,136.77,133.85,,,1.45,0.47,0.87,1.66,2.51,98.02,99.53,98.34,97.96,96.95,0.53,0.0,0.79,0.38,0.54,4.73,0.0,2.88,7.93,2.69,Sin acceso a internet
2020,86573,Leguízamo,86,Putumayo,3826,Putumayo (ETC),7882,70.44,70.43,34.65,72.93,52.53,24.68,78.2,68.27,92.66,77.79,45.42,,,9.37,4.93,6.51,13.69,14.34,88.57,94.65,91.34,83.7,84.68,2.07,0.43,2.15,2.61,0.98,4.33,0.64,4.39,5.74,1.96,Sin acceso a internet
2020,86571,Puerto Guzmán,86,Putumayo,3826,Putumayo (ETC),9849,50.95,50.95,25.93,53.13,37.0,15.68,55.86,48.97,69.59,52.72,29.71,,,14.09,3.45,8.42,24.53,21.53,81.4,96.55,88.86,66.37,75.84,4.51,0.0,2.73,9.1,2.63,5.12,0.0,6.21,4.43,5.26,Sin acceso a internet
2020,86569,Puerto Caicedo,86,Putumayo,3826,Putumayo (ETC),3368,67.46,67.46,47.28,69.09,56.64,25.36,72.03,74.83,83.8,71.55,41.79,,,7.62,5.91,7.93,7.39,8.41,82.53,93.64,85.82,76.94,73.89,9.85,0.45,6.24,15.67,17.7,5.75,0.45,4.73,8.77,5.75,Sin acceso a internet
2020,86568,Puerto Asís,86,Putumayo,3826,Putumayo (ETC),14808,94.15,94.15,58.76,91.59,78.14,38.07,110.6,93.1,114.84,121.01,88.75,,,6.93,2.95,5.54,9.26,7.89,83.43,96.13,87.75,75.05,84.15,9.64,0.92,6.72,15.69,7.96,9.19,0.41,7.97,13.63,5.31,Sin acceso a internet
2020,86320,Orito,86,Putumayo,3826,Putumayo (ETC),9060,93.77,93.77,47.43,88.21,83.48,44.29,105.57,92.68,107.53,118.03,82.34,,,6.53,4.54,6.2,6.86,8.0,88.37,95.31,91.96,83.59,85.37,5.09,0.15,1.85,9.55,6.62,6.72,0.45,5.29,10.58,4.14,Sin acceso a internet
2020,86219,Colón,86,Putumayo,3826,Putumayo (ETC),1020,80.39,80.39,46.32,74.25,75.38,39.64,84.9,74.74,87.47,100.31,54.44,,,3.58,2.82,2.92,3.68,6.52,94.69,97.18,96.55,92.64,92.39,1.73,0.0,0.53,3.68,1.09,6.47,0.0,4.51,9.82,7.61,Sin acceso a internet
2020,86001,Mocoa,86,Putumayo,3826,Putumayo (ETC),11431,91.17,91.15,60.85,83.18,82.99,49.13,103.89,93.4,97.53,119.08,94.69,,,5.86,7.79,5.36,5.94,6.14,86.36,92.21,90.62,81.03,85.77,7.78,0.0,4.02,13.03,8.09,7.97,0.26,4.58,13.15,7.39,Sin acceso a internet
2020,85440,Villanueva,85,Casanare,3825,Casanare (ETC),7732,94.43,94.43,67.33,93.13,87.59,50.19,101.19,90.34,106.06,109.17,78.83,,,1.33,1.89,0.93,1.59,1.66,89.8,96.6,93.15,85.44,86.46,8.87,1.51,5.92,12.97,11.88,4.38,0.0,2.75,7.73,2.97,Sin acceso a internet
2020,85430,Trinidad,85,Casanare,3825,Casanare (ETC),3167,96.34,96.34,60.76,94.72,86.26,37.83,104.99,80.21,111.67,120.8,68.61,,,5.12,7.21,5.86,4.44,2.36,88.8,92.79,87.74,88.13,93.58,6.08,0.0,6.4,7.43,4.05,5.24,0.0,4.58,6.6,7.43,Sin acceso a internet
2020,85410,Tauramena,85,Casanare,3825,Casanare (ETC),5696,91.31,91.24,68.45,90.87,77.53,52.26,101.9,96.78,104.31,104.13,94.14,,,1.6,1.41,1.21,1.61,2.84,97.05,98.59,97.62,96.55,95.81,1.35,0.0,1.17,1.83,1.35,4.92,0.0,5.8,5.94,2.16,Sin acceso a internet
2020,85400,Támara,85,Casanare,3825,Casanare (ETC),1687,93.01,93.01,71.76,99.57,72.84,30.53,99.53,96.18,120.78,96.89,54.74,,,0.87,0.79,0.24,1.72,1.65,97.2,99.21,99.52,93.7,94.21,1.93,0.0,0.24,4.58,4.13,4.54,0.0,4.66,5.34,4.96,Sin acceso a internet
2020,85325,San Luis de Palenque,85,Casanare,3825,Casanare (ETC),1896,81.8,81.8,59.17,83.21,65.05,33.11,88.08,82.84,99.14,89.16,58.02,,,2.5,2.14,2.97,1.73,2.99,85.71,97.86,91.59,76.88,71.64,11.8,0.0,5.44,21.39,25.37,7.8,0.0,5.93,12.52,8.96,Sin acceso a internet
2020,85315,Sácama,85,Casanare,3825,Casanare (ETC),458,58.08,58.08,50.0,54.21,54.05,33.75,65.94,65.0,58.42,75.68,66.25,,,1.08,0.0,1.8,1.01,0.0,98.92,100.0,98.2,98.99,100.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,1.8,4.04,0.0,Sin acceso a internet
2020,85300,Sabanalarga,85,Casanare,3825,Casanare (ETC),705,89.93,89.93,77.36,82.69,83.54,60.32,98.01,96.23,92.58,104.53,98.41,,,2.03,0.0,1.15,2.36,4.03,86.4,100.0,95.04,78.35,79.03,11.58,0.0,3.82,19.29,16.94,2.75,0.0,1.91,4.33,2.42,Sin acceso a internet
2020,85279,Recetor,85,Casanare,3825,Casanare (ETC),326,50.0,50.0,35.48,41.18,53.85,27.27,53.68,67.74,47.06,67.31,36.36,,,3.43,0.0,3.13,5.71,0.0,95.43,100.0,93.75,94.29,100.0,1.14,0.0,3.13,0.0,0.0,2.29,0.0,3.13,2.86,0.0,Sin acceso a internet
2020,85263,Pore,85,Casanare,3825,Casanare (ETC),2897,79.67,79.67,67.87,75.61,71.58,30.32,87.75,83.13,86.95,101.67,63.66,,,1.58,0.0,1.42,2.35,0.83,96.09,100.0,97.08,94.53,94.19,2.33,0.0,1.51,3.13,4.98,3.08,0.0,3.87,3.35,1.24,Sin acceso a internet
2020,85250,Paz de Ariporo,85,Casanare,3825,Casanare (ETC),8729,92.85,92.84,64.48,90.48,78.93,41.99,104.47,90.48,111.07,112.3,78.24,,,1.72,1.82,1.83,1.62,1.53,93.51,98.18,95.21,91.08,89.88,4.77,0.0,2.96,7.31,8.59,4.98,0.3,5.18,6.71,1.88,Sin acceso a internet
2020,85230,Orocué,85,Casanare,3825,Casanare (ETC),3346,79.38,79.38,38.87,78.66,67.03,30.19,88.11,66.43,96.34,97.93,56.98,,,3.53,2.66,2.43,5.1,3.8,92.15,97.34,94.48,87.83,93.16,4.31,0.0,3.09,7.07,3.04,6.22,0.0,4.19,10.79,3.42,Sin acceso a internet
2020,85225,Nunchía,85,Casanare,3825,Casanare (ETC),1870,90.0,90.0,55.69,91.71,82.45,38.61,99.73,77.25,105.03,109.44,78.88,,,0.34,2.33,0.24,0.16,0.0,94.36,97.67,95.69,92.12,93.33,5.3,0.0,4.07,7.72,6.67,7.53,0.0,7.66,10.18,3.33,Sin acceso a internet
2020,85162,Monterrey,85,Casanare,3825,Casanare (ETC),3718,91.15,91.12,82.13,89.02,79.28,56.59,101.8,96.24,98.91,104.81,106.02,,,0.87,0.73,0.68,0.66,2.04,87.58,99.27,95.02,75.43,89.0,11.55,0.0,4.29,23.91,8.96,4.92,0.0,2.79,9.58,2.44,Sin acceso a internet
2020,85139,Maní,85,Casanare,3825,Casanare (ETC),3783,82.02,82.0,62.39,83.31,70.49,33.0,90.38,73.73,96.77,97.64,67.82,,,3.49,1.72,2.56,5.0,4.14,85.98,98.28,91.35,75.63,85.8,10.53,0.0,6.09,19.37,10.06,4.86,0.0,3.08,9.64,1.18,Sin acceso a internet
2020,85136,La Salina,85,Casanare,3825,Casanare (ETC),377,64.72,64.72,60.0,59.57,57.66,22.97,72.94,84.0,75.18,78.1,55.41,,,2.55,0.0,0.94,5.61,0.0,97.45,100.0,99.06,94.39,100.0,0.0,0.0,0.0,0.0,0.0,4.36,0.0,4.72,5.61,2.44,Sin acceso a internet
2020,85125,Hato Corozal,85,Casanare,3825,Casanare (ETC),3246,97.13,97.13,75.82,97.52,72.44,32.69,110.66,119.78,124.07,112.53,66.34,,,1.75,0.61,1.06,2.85,2.57,88.47,96.94,92.7,82.02,80.39,9.79,2.45,6.24,15.13,17.04,5.89,0.92,4.94,9.68,2.25,Sin acceso a internet
2020,85015,Chameza,85,Casanare,3825,Casanare (ETC),577,67.24,67.24,64.58,66.12,64.06,30.53,74.0,72.92,73.14,79.17,66.32,,,1.68,0.0,0.56,3.31,1.85,96.4,100.0,99.44,91.39,98.15,1.92,0.0,0.0,5.3,0.0,2.16,0.0,1.13,4.64,0.0,Sin acceso a internet
2020,85010,Aguazul,85,Casanare,3825,Casanare (ETC),7959,94.45,94.45,63.14,92.44,84.29,51.74,104.41,94.56,105.83,114.61,85.69,,,1.06,1.42,1.13,0.9,1.1,91.62,97.87,94.28,87.41,90.25,7.32,0.71,4.6,11.69,8.65,5.29,0.0,4.53,8.44,2.41,Sin acceso a internet
2020,85001,Yopal,85,Casanare,4841,Yopal,35686,101.71,101.65,82.22,99.46,90.32,53.51,114.2,104.54,113.82,125.61,97.76,,,2.49,2.84,2.47,2.63,1.96,89.9,95.72,92.31,84.98,92.07,7.61,1.44,5.21,12.39,5.98,6.04,0.16,4.62,10.45,1.8,Sin acceso a internet
2020,81794,Tame,81,Arauca,3824,Arauca (ETC),11725,117.65,117.61,80.29,115.18,95.92,48.64,133.95,116.62,144.13,142.01,100.05,,,4.66,2.3,3.33,6.6,6.71,83.86,96.01,87.64,75.11,84.28,11.47,1.68,9.02,18.29,9.01,4.38,0.18,3.7,7.06,2.31,Sin acceso a internet
2020,81736,Saravena,81,Arauca,3824,Arauca (ETC),14258,85.17,85.17,61.76,82.01,70.77,35.46,95.01,90.86,102.75,99.06,69.35,,,3.35,1.74,3.0,4.05,4.21,87.23,92.03,89.56,82.18,88.81,9.41,6.23,7.45,13.77,6.98,3.54,2.66,2.45,5.96,1.35,Sin acceso a internet
2020,81591,Puerto Rondón,81,Arauca,3824,Arauca (ETC),1058,74.95,74.95,34.74,84.0,58.48,23.98,83.46,73.68,102.0,83.63,39.77,,,1.68,4.29,1.53,1.21,1.72,96.53,94.29,95.42,98.79,98.28,1.8,1.43,3.05,0.0,0.0,0.96,0.0,1.09,0.81,1.72,Sin acceso a internet
2020,81300,Fortul,81,Arauca,3824,Arauca (ETC),4978,104.96,104.96,74.38,98.5,82.67,39.92,117.2,122.0,134.37,115.36,71.99,,,5.95,1.71,5.83,8.17,2.97,83.11,92.57,84.61,77.54,84.7,10.93,5.71,9.56,14.29,12.33,2.55,1.52,3.15,2.06,2.05,Sin acceso a internet
2020,81220,Cravo Norte,81,Arauca,3824,Arauca (ETC),836,90.67,90.67,54.32,87.22,79.62,34.81,107.78,104.94,105.83,125.0,81.48,,,5.74,11.76,5.25,4.06,7.69,89.4,87.06,91.6,87.45,87.69,4.86,1.18,3.15,8.49,4.62,6.11,1.18,5.77,7.38,9.23,Sin acceso a internet
2020,81065,Arauquita,81,Arauca,3824,Arauca (ETC),13580,68.03,68.03,42.21,67.19,53.53,24.5,76.08,70.52,88.75,75.03,47.58,,,4.39,3.97,4.22,4.56,5.33,85.71,92.54,87.82,79.93,87.31,9.9,3.49,7.96,15.51,7.36,6.42,1.93,5.15,10.88,2.03,Sin acceso a internet
2020,81001,Arauca,81,Arauca,3824,Arauca (ETC),20145,98.58,98.52,53.62,97.06,78.77,40.74,115.88,98.91,126.63,116.69,96.21,,,2.95,1.06,3.05,3.34,2.68,85.56,94.79,86.62,81.15,87.42,11.49,4.16,10.33,15.51,9.9,2.9,1.12,3.22,3.36,0.96,Sin acceso a internet
2020,76895,Zarzal,76,Valle del Cauca,3817,Valle del Cauca (ETC),8497,77.97,77.93,61.67,74.63,69.71,45.46,90.16,75.76,85.07,101.75,85.64,,,3.63,3.2,3.86,3.88,2.55,94.69,96.8,95.66,92.93,95.56,1.68,0.0,0.48,3.19,1.89,4.34,0.23,3.42,6.55,3.22,Sin acceso a internet
